symbol,mode,side,entry_price,exit_price,tp_price,sl_price,net_pnl,hold_bars,exit_reason
AAVE/USDC:USDC,MR,short,292.1,295.1214285714286,286.852,295.1214285714286,-0.991066,1,SL
AAVE/USDC:USDC,MR,long,283.08,281.7,288.13955555555555,281.39,-0.466084,4,TIMEOUT
AAVE/USDC:USDC,MR,long,280.47,283.26,287.9717777777778,278.68428571428575,0.956908,4,TIMEOUT
AAVE/USDC:USDC,MR,long,281.26,286.5451111111111,286.5451111111111,279.63,1.805877,2,TP
AAVE/USDC:USDC,MR,short,293.6,296.3121428571429,287.09777777777776,296.3121428571429,-0.884866,1,SL
AAVE/USDC:USDC,MR,short,254.38,239.64466666666667,239.64466666666667,258.4157142857143,5.562749,3,TP
AAVE/USDC:USDC,MR,short,260.4,260.99,243.7311111111111,265.81571428571425,-0.215587,4,TIMEOUT
AAVE/USDC:USDC,MR,long,243.04,239.0842857142857,252.59666666666666,239.0842857142857,-1.560605,2,SL
AAVE/USDC:USDC,MR,long,214.91,210.6407142857143,222.38022222222227,210.6407142857143,-1.905202,1,SL
AAVE/USDC:USDC,MR,short,226.5,222.38,219.81044444444447,228.75214285714287,1.74811,4,TIMEOUT
AAVE/USDC:USDC,MR,long,224.48,226.29,228.04888888888885,222.76642857142858,0.775991,4,TIMEOUT
AAVE/USDC:USDC,MR,short,230.74,232.23642857142858,227.0917777777778,232.23642857142858,-0.620661,2,SL
AAVE/USDC:USDC,MR,short,229.94,224.89911111111113,224.89911111111113,233.14857142857144,2.10645,3,TP
AAVE/USDC:USDC,MR,long,214.19,209.785,222.1808888888889,209.785,-1.972441,4,SL
AAVE/USDC:USDC,MR,short,210.99,213.46857142857144,203.75422222222224,213.46857142857144,-1.125802,3,SL
AAVE/USDC:USDC,MR,long,176.19,178.00044444444444,178.00044444444444,174.53857142857143,0.98839,1,TP
AAVE/USDC:USDC,MR,long,182.85,185.62888888888892,185.62888888888892,180.57785714285714,1.460923,3,TP
AAVE/USDC:USDC,MR,long,183.19,183.29,185.41822222222223,181.7707142857143,0.054326,4,TIMEOUT
AAVE/USDC:USDC,MR,long,182.76,181.3735714285714,185.3371111111111,181.3735714285714,-0.726356,4,SL
AAVE/USDC:USDC,MR,long,181.68,181.86,184.70600000000002,180.36714285714285,0.097034,4,TIMEOUT
AAVE/USDC:USDC,MR,short,187.64,184.49044444444445,184.49044444444445,189.67357142857142,1.613257,2,TP
AAVE/USDC:USDC,MR,long,179.9,180.32,183.88533333333334,177.05785714285716,0.226049,4,TIMEOUT
AAVE/USDC:USDC,MR,long,179.58,177.62357142857144,183.10666666666665,177.62357142857144,-1.04397,2,SL
AAVE/USDC:USDC,MR,long,188.96,187.24285714285716,193.50377777777783,187.24285714285716,-0.870482,4,SL
AAVE/USDC:USDC,MR,long,188.51,186.44285714285715,192.95844444444444,186.44285714285715,-1.050808,1,SL
AAVE/USDC:USDC,MR,long,182.09,184.13,188.49422222222222,180.52,1.077454,4,TIMEOUT
AAVE/USDC:USDC,MR,long,182.05,186.27444444444444,186.27444444444444,180.05142857142857,2.229631,1,TP
AAVE/USDC:USDC,MR,short,191.13,193.87928571428571,186.40955555555553,193.87928571428571,-1.378952,1,SL
AAVE/USDC:USDC,MR,short,194.02,187.00422222222224,187.00422222222224,196.8657142857143,3.473218,2,TP
AAVE/USDC:USDC,MR,short,192.11,193.73,188.02822222222218,195.54142857142858,-0.8076,4,TIMEOUT
AAVE/USDC:USDC,MR,short,194.86,195.89,189.05933333333334,197.4664285714286,-0.505511,4,TIMEOUT
AAVE/USDC:USDC,MR,short,196.21,198.58142857142857,191.22977777777777,198.58142857142857,-1.15833,1,SL
AAVE/USDC:USDC,MR,long,189.7,190.98,197.66511111111112,187.60642857142855,0.649693,4,TIMEOUT
AAVE/USDC:USDC,MR,long,191.41,189.77142857142857,195.49022222222226,189.77142857142857,-0.819908,4,SL
AAVE/USDC:USDC,MR,long,181.35,178.32357142857143,186.29533333333336,178.32357142857143,-1.600192,1,SL
AAVE/USDC:USDC,MR,long,179.86,179.81,186.00022222222228,176.47785714285715,-0.024768,4,TIMEOUT
AAVE/USDC:USDC,MR,long,178.87,178.65,184.79088888888884,175.35928571428573,-0.116157,4,TIMEOUT
AAVE/USDC:USDC,MR,long,176.35,178.65,183.83511111111116,173.8057142857143,1.254001,4,TIMEOUT
AAVE/USDC:USDC,MR,long,176.73,182.6091111111111,182.6091111111111,174.9342857142857,3.195526,2,TP
AAVE/USDC:USDC,MR,long,174.49,171.30142857142857,181.76088888888887,171.30142857142857,-1.752387,2,SL
AAVE/USDC:USDC,MR,long,173.5,178.27,180.0413333333333,169.89714285714285,2.641281,4,TIMEOUT
AAVE/USDC:USDC,MR,long,178.8,177.7607142857143,181.6855555555556,177.7607142857143,-0.556097,1,SL
AAVE/USDC:USDC,MR,long,177.92,177.58,181.6088888888889,176.8292857142857,-0.181537,4,TIMEOUT
AAVE/USDC:USDC,MR,long,176.91,175.57857142857142,180.86044444444445,175.57857142857142,-0.720593,1,SL
AAVE/USDC:USDC,MR,short,157.09,156.11,154.98666666666668,158.02357142857144,0.6008,4,TIMEOUT
AAVE/USDC:USDC,MR,long,153.6,153.72,155.5571111111111,152.61642857142857,0.076922,4,TIMEOUT
AAVE/USDC:USDC,MR,long,153.56,155.45977777777776,155.45977777777776,152.57785714285714,1.189614,2,TP
AAVE/USDC:USDC,MR,short,157.51,158.78071428571428,155.39377777777776,158.78071428571428,-0.772546,1,SL
AAVE/USDC:USDC,MR,long,148.78,150.1331111111111,150.1331111111111,147.94714285714286,0.87503,2,TP
AAVE/USDC:USDC,MR,short,166.11,168.0207142857143,163.44066666666666,168.0207142857143,-1.102318,4,SL
AAVE/USDC:USDC,MR,long,169.95,167.8185714285714,172.43911111111112,167.8185714285714,-1.202088,1,SL
AAVE/USDC:USDC,MR,long,167.7,166.94,172.0751111111111,165.56285714285713,-0.433151,4,TIMEOUT
AAVE/USDC:USDC,MR,long,167.03,167.85,171.56444444444446,164.825,0.473222,4,TIMEOUT
AAVE/USDC:USDC,MR,long,166.71,164.8492857142857,171.01666666666668,164.8492857142857,-1.069594,3,SL
AAVE/USDC:USDC,MR,long,164.68,162.78714285714287,170.22933333333333,162.78714285714287,-1.101541,4,SL
AAVE/USDC:USDC,MR,short,167.82,169.72714285714284,165.58755555555555,169.72714285714284,-1.089023,1,SL
AAVE/USDC:USDC,MR,long,163.88,165.58044444444445,165.58044444444445,163.11142857142858,0.998051,3,TP
AAVE/USDC:USDC,MR,short,167.81,168.58285714285714,165.61822222222224,168.58285714285714,-0.440204,2,SL
AAVE/USDC:USDC,MR,short,168.88,165.93755555555558,165.93755555555558,170.16571428571427,1.674522,4,TP
AAVE/USDC:USDC,MR,short,168.95,166.4951111111111,166.4951111111111,171.24714285714285,1.396798,4,TP
AAVE/USDC:USDC,MR,long,164.39,163.18,166.84111111111113,162.11785714285713,-0.704706,4,TIMEOUT
AAVE/USDC:USDC,MR,long,173.76,171.57357142857143,176.41355555555555,171.57357142857143,-1.206076,3,SL
AAVE/USDC:USDC,MR,long,169.22,171.94,173.82044444444443,167.74642857142857,1.545031,4,TIMEOUT
AAVE/USDC:USDC,MR,short,176.16,175.59,172.9691111111111,177.84214285714285,0.31254,4,TIMEOUT
AAVE/USDC:USDC,MR,short,176.36,175.02,173.1162222222222,177.52285714285716,0.731323,4,TIMEOUT
AAVE/USDC:USDC,MR,long,172.39,174.28422222222224,174.28422222222224,171.32857142857142,1.05679,1,TP
AAVE/USDC:USDC,MR,short,176.7,174.42155555555556,174.42155555555556,177.82,1.23976,3,TP
AAVE/USDC:USDC,MR,long,156.07,156.69,158.42066666666668,154.27285714285713,0.383295,4,TIMEOUT
AAVE/USDC:USDC,MR,long,156.11,156.43,157.50199999999998,155.43714285714287,0.198708,4,TIMEOUT
AAVE/USDC:USDC,MR,long,155.61,155.68,157.35488888888892,154.965,0.045106,4,TIMEOUT
AAVE/USDC:USDC,MR,long,154.94,155.08,156.93066666666667,154.20642857142857,0.088665,4,TIMEOUT
AAVE/USDC:USDC,MR,long,154.45,154.67,156.67755555555556,153.74714285714285,0.138666,4,TIMEOUT
AAVE/USDC:USDC,MR,long,153.72,152.86214285714286,156.2937777777778,152.86214285714286,-0.533833,1,SL
AAVE/USDC:USDC,MR,long,124.55,123.08928571428571,127.19400000000002,123.08928571428571,-1.123984,2,SL
AAVE/USDC:USDC,MR,long,111.31,113.3951111111111,113.3951111111111,110.03571428571429,1.800273,2,TP
AAVE/USDC:USDC,MR,long,111.26,109.58714285714287,113.30733333333332,109.58714285714287,-1.441523,2,SL
AAVE/USDC:USDC,MR,long,110.81,113.15177777777778,113.15177777777778,109.14357142857143,2.030755,4,TP
AAVE/USDC:USDC,MR,long,124.21,125.83955555555556,125.83955555555556,123.01071428571429,1.261404,2,TP
AAVE/USDC:USDC,MR,short,127.89,125.774,125.774,129.23357142857142,1.590253,1,TP
AAVE/USDC:USDC,MR,short,128.13,126.57,125.86644444444444,129.93785714285713,1.17071,4,TIMEOUT
AAVE/USDC:USDC,MR,long,124.03,122.35142857142857,126.42377777777777,122.35142857142857,-1.297331,1,SL
AAVE/USDC:USDC,MR,long,122.85,123.74,126.04644444444445,121.02357142857142,0.697416,4,TIMEOUT
AAVE/USDC:USDC,MR,short,118.44,116.52,114.66288888888889,120.07571428571428,1.55812,4,TIMEOUT
AAVE/USDC:USDC,MR,short,118.0,117.25,114.9988888888889,119.56285714285714,0.612077,4,TIMEOUT
AAVE/USDC:USDC,MR,long,111.94,114.38,117.38355555555555,110.08642857142857,2.094511,4,TIMEOUT
AAVE/USDC:USDC,MR,short,118.08,119.79857142857142,113.72022222222223,119.79857142857142,-1.395265,1,SL
AAVE/USDC:USDC,MR,short,118.25,118.54,113.54933333333334,119.75214285714286,-0.233509,4,TIMEOUT
AAVE/USDC:USDC,MR,long,114.44,113.23285714285714,116.84822222222225,113.23285714285714,-1.010733,2,SL
AAVE/USDC:USDC,MR,long,105.15,107.15911111111109,107.15911111111109,103.63000000000001,1.836238,4,TP
AAVE/USDC:USDC,MR,long,108.99,107.54499999999999,111.14866666666668,107.54499999999999,-1.270883,4,SL
AAVE/USDC:USDC,MR,long,107.69,109.49,110.398,106.49714285714286,1.606558,4,TIMEOUT
AAVE/USDC:USDC,MR,short,114.31,113.93,110.33533333333331,116.14214285714286,0.321046,4,TIMEOUT
AAVE/USDC:USDC,MR,long,119.69,118.60357142857143,121.23133333333332,118.60357142857143,-0.869491,1,SL
AAVE/USDC:USDC,MR,long,112.35,110.96714285714285,117.57577777777776,110.96714285714285,-1.179717,3,SL
AAVE/USDC:USDC,MR,short,112.5,111.4362222222222,111.4362222222222,113.01571428571428,0.909659,4,TP
AAVE/USDC:USDC,MR,short,111.86,113.00857142857143,109.07577777777777,113.00857142857143,-0.983782,3,SL
AAVE/USDC:USDC,MR,short,98.732,98.48,96.7692888888889,99.89107142857142,0.246942,4,TIMEOUT
AAVE/USDC:USDC,MR,short,98.904,99.9722857142857,96.9291111111111,99.9722857142857,-1.034978,1,SL
AAVE/USDC:USDC,MR,short,99.184,100.21657142857143,97.67573333333334,100.21657142857143,-0.997484,1,SL
AAVE/USDC:USDC,MR,short,99.633,99.249,97.78493333333336,100.58742857142857,0.37191,4,TIMEOUT
AAVE/USDC:USDC,MR,short,99.866,100.88385714285714,97.84279999999998,100.88385714285714,-0.976514,3,SL
AAVE/USDC:USDC,MR,long,95.979,94.77314285714286,98.26602222222222,94.77314285714286,-1.204225,1,SL
AAVE/USDC:USDC,MR,long,94.251,93.7805,94.80317777777778,93.7805,-0.477321,3,SL
AAVE/USDC:USDC,MR,short,92.947,93.86892857142857,90.79584444444446,93.86892857142857,-0.950272,3,SL
AAVE/USDC:USDC,MR,short,94.882,95.67907142857143,91.81013333333331,95.67907142857143,-0.804527,1,SL
AAVE/USDC:USDC,MR,short,94.956,96.15478571428572,93.14788888888889,96.15478571428572,-1.210022,3,SL
AAVE/USDC:USDC,MR,short,95.069,96.13885714285715,93.3564,96.13885714285715,-1.078393,1,SL
AAVE/USDC:USDC,MR,long,93.349,93.353,94.46442222222221,92.54935714285715,0.006034,2,EOD
AAVE/USDC:USDC,TREND_v1,long,285.11,283.58,291.4457142857143,281.94214285714287,-0.51326,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,long,283.76,288.30285714285714,288.30285714285714,281.4885714285714,1.538863,3,TP
AAVE/USDC:USDC,TREND_v1,long,288.56,286.10785714285714,293.4642857142857,286.10785714285714,-0.813891,2,SL
AAVE/USDC:USDC,TREND_v1,long,287.95,285.67785714285714,292.4942857142857,285.67785714285714,-0.755608,2,SL
AAVE/USDC:USDC,TREND_v1,long,284.1,281.9478571428572,288.4042857142857,281.9478571428572,-0.725323,3,SL
AAVE/USDC:USDC,TREND_v1,short,284.13,286.43571428571425,279.5185714285714,286.43571428571425,-0.777104,1,SL
AAVE/USDC:USDC,TREND_v1,long,290.8,288.24428571428575,295.91142857142853,288.24428571428575,-0.841799,4,SL
AAVE/USDC:USDC,TREND_v1,long,295.44,293.13214285714287,300.0557142857143,293.13214285714287,-0.748008,1,SL
AAVE/USDC:USDC,TREND_v1,long,289.66,290.49,295.17,286.90500000000003,0.277007,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,long,299.78,299.57,305.35428571428565,296.99285714285713,-0.065331,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,long,299.47,296.8878571428572,304.63428571428574,296.8878571428572,-0.825845,3,SL
AAVE/USDC:USDC,TREND_v1,long,295.75,293.29857142857145,300.65285714285716,293.29857142857145,-0.793826,4,SL
AAVE/USDC:USDC,TREND_v1,short,289.92,292.3442857142857,285.07142857142856,292.3442857142857,-0.800808,2,SL
AAVE/USDC:USDC,TREND_v1,short,292.21,287.33428571428567,287.33428571428567,294.6478571428571,1.603711,1,TP
AAVE/USDC:USDC,TREND_v1,short,281.96,276.68,275.7,285.09,1.799586,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,276.84,276.01,269.84,280.34,0.289734,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,277.97,277.17,271.4171428571429,281.2464285714286,0.278203,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,276.74,279.2428571428572,271.7342857142857,279.2428571428572,-0.866294,3,SL
AAVE/USDC:USDC,TREND_v1,short,280.6,282.82000000000005,276.16,282.82000000000005,-0.75758,4,SL
AAVE/USDC:USDC,TREND_v1,short,281.07,283.61,275.99,283.61,-0.865605,1,SL
AAVE/USDC:USDC,TREND_v1,long,284.16,285.42,289.5271428571429,281.4764285714286,0.427604,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,long,284.72,282.00357142857143,290.15285714285716,282.00357142857143,-0.914006,2,SL
AAVE/USDC:USDC,TREND_v1,short,275.02,272.89,269.50857142857143,277.77571428571423,0.745415,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,271.05,271.91,264.62,274.265,-0.302667,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,271.82,274.90285714285716,265.6542857142857,274.90285714285716,-1.086846,2,SL
AAVE/USDC:USDC,TREND_v1,short,273.97,276.64500000000004,268.62,276.64500000000004,-0.93539,3,SL
AAVE/USDC:USDC,TREND_v1,short,277.39,274.97,272.09999999999997,280.03499999999997,0.839424,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,262.08,254.87285714285713,254.87285714285713,265.68357142857144,2.641846,3,TP
AAVE/USDC:USDC,TREND_v1,short,220.75,218.69,188.4247142857143,236.91264285714286,0.897757,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,233.46,233.67,192.4247142857143,253.97764285714285,-0.084431,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,231.78,241.89,190.39185714285713,252.47407142857142,-4.185415,4,TIMEOUT
