symbol,fold,param_adx_rising_bars,param_adx_min,param_z_entry_min,param_z_entry_max,param_sl_mult,param_max_hold_bars,oos_n,oos_sharpe,oos_total_pnl,oos_mdd
AAVE/USDC:USDC,0,2,22.0,1.0,3.0,2.0,8,24,9.969,3.9042,0.9
AAVE/USDC:USDC,0,2,22.0,1.2,2.0,1.0,4,22,7.176,1.7705,0.44
AAVE/USDC:USDC,0,2,22.0,1.2,2.0,1.0,6,21,-4.014,-1.0528,0.54
AAVE/USDC:USDC,0,2,22.0,1.2,2.0,1.0,8,18,-9.885,-2.1249,0.62
AAVE/USDC:USDC,0,2,22.0,1.2,2.0,1.5,4,21,22.195,5.3701,0.54
AAVE/USDC:USDC,0,2,22.0,1.2,2.0,1.5,6,20,22.347,7.182,0.79
AAVE/USDC:USDC,0,2,22.0,1.2,2.0,1.5,8,16,25.774,6.458,0.52
AAVE/USDC:USDC,0,2,22.0,1.2,2.0,2.0,4,21,13.308,3.6135,0.7
AAVE/USDC:USDC,0,2,22.0,1.2,2.0,2.0,6,20,17.893,6.0307,0.92
AAVE/USDC:USDC,0,2,22.0,1.2,2.0,2.0,8,15,24.181,6.163,0.66
AAVE/USDC:USDC,0,2,22.0,1.2,2.5,1.0,4,27,17.958,5.0827,0.5
AAVE/USDC:USDC,0,2,22.0,1.2,2.5,1.0,6,23,18.165,5.3274,0.36
AAVE/USDC:USDC,0,2,22.0,1.2,2.5,1.0,8,20,5.385,1.4856,0.6
AAVE/USDC:USDC,0,2,22.0,1.2,2.5,1.5,4,26,25.35,6.9742,0.5
AAVE/USDC:USDC,0,2,22.0,1.2,2.5,1.5,6,22,39.597,12.1604,0.46
AAVE/USDC:USDC,0,2,22.0,1.2,2.5,1.5,8,18,25.278,7.2778,0.62
AAVE/USDC:USDC,0,2,22.0,1.2,2.5,2.0,4,26,22.658,6.5443,0.66
AAVE/USDC:USDC,0,2,22.0,1.2,2.5,2.0,6,24,21.262,7.9491,0.85
AAVE/USDC:USDC,0,2,22.0,1.2,2.5,2.0,8,18,33.089,9.5488,0.65
AAVE/USDC:USDC,0,2,22.0,1.2,3.0,1.0,4,30,6.724,2.0115,0.53
AAVE/USDC:USDC,0,2,22.0,1.2,3.0,1.0,6,24,5.186,1.5849,0.56
AAVE/USDC:USDC,0,2,22.0,1.2,3.0,1.0,8,22,-11.325,-2.9168,0.81
AAVE/USDC:USDC,0,2,22.0,1.2,3.0,1.5,4,29,26.339,9.1036,0.5
AAVE/USDC:USDC,0,2,22.0,1.2,3.0,1.5,6,23,25.097,8.0338,0.47
