trade_id,symbol,side,entry_price,exit_price,amount,gross_pnl,fee_rebate,net_pnl,hold_min,reason,regime,adx_entry,z_entry,imb_entry,equity_after,closed_at
1,HYPE/USDC:USDC,short,42.03410584778558,41.9355,2.29,0.225807,0.001921,0.227728,36.6,DECEL,mr,18.03,2.241,-0.388,600.2297,2026-04-26T20:29:51.234561+00:00
2,HYPE/USDC:USDC,short,42.39227215452522,42.2685,1.59,0.196798,0.001344,0.198142,7.7,DECEL,ctr_mr,26.35,2.108,-0.425,600.4291,2026-04-26T23:10:08.224055+00:00
